"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","flakyFailure()","","2026-07-10","broken","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","flakyFailure"
"","16","browserLaunchFailure()","","2026-07-10","broken","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","browserLaunchFailure"
"Categories split flaky, test and product failures so each bucket has an owner.","4","categoriesPutSpecificFlakyRuleBeforeGenericBuckets()","","2026-07-10","passed","2026-07-10","","sdet.reporting.W6D4ReportinginsightsTest","sdet.reporting.W6D4ReportinginsightsTest","categoriesPutSpecificFlakyRuleBeforeGenericBuckets"
"","13","staleElementFaillure()","","2026-07-10","broken","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","staleElementFaillure"
"Environment metadata answers which browser, base URL and build produced the report.","3","environmentTemplateCarriesRunContext()","","2026-07-10","passed","2026-07-10","","sdet.reporting.W6D4ReportinginsightsTest","sdet.reporting.W6D4ReportinginsightsTest","environmentTemplateCarriesRunContext"
"","5","sqlFailure()","","2026-07-10","broken","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","sqlFailure"
"The leadership view is the Overview page once categories, history, severity and environment exist.","2","executiveViewNeedsFourSignals()","","2026-07-10","passed","2026-07-10","","sdet.reporting.W6D4ReportinginsightsTest","sdet.reporting.W6D4ReportinginsightsTest","executiveViewNeedsFourSignals"
"","1","noSuchElementFailure()","","2026-07-10","broken","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","noSuchElementFailure"
"","5","timeoutFailure()","","2026-07-10","broken","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","timeoutFailure"
"","2","genericFailure()","","2026-07-10","failed","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","genericFailure"
"","20","assertionFailure()","","2026-07-10","failed","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","assertionFailure"
"","8","clickInterceptedFailure()","","2026-07-10","broken","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","clickInterceptedFailure"
"","4","connectionFailure()","","2026-07-10","broken","2026-07-10","","sdet.reporting.AllureCategoriesTest","sdet.reporting.AllureCategoriesTest","connectionFailure"
